,cell,fc,svd,Citeseer
d_max,64.2,59.4,68.8,99.0
d_min,1.0,1.0,1.0,1.0
d,2.9545023696682464,2.9545023696682464,2.9545023696682464,3.476777251184834
LCC,2061.2,2011.6,2099.4,2110.0
wedge_count,13893.4,15267.0,14686.4,25943.0
claw_count,74036.4,80941.6,96968.8,250348.0
triangle_count,146.4,218.0,123.6,1083.0
square_count,478.0,841.8,401.2,5977.0
power_law_exp,2.190553030044732,2.238111951356127,2.1935378068600753,2.0682375896415137
gini,0.3780210039121953,0.4039127730972331,0.3794865946871383,0.4282597797268033
rel_edge_distr_entropy,0.9656935721119606,0.9603782960133923,0.964814631184469,0.9538667775751367
assortativity,-0.04318213140407948,-0.019331927816975913,-0.06027617498905084,0.06022714636338007
clustering_coefficient,0.0315915110683203,0.042855875495958484,0.025223488720552217,0.12523609451489803
cpl,7.435620937707616,7.392375926484864,7.247645699320022,9.310486989858404
ROC-AUC,0.8769937381852552,0.8920132325141775,0.9124084357277882,1.0
AVG-PREC,0.9022841920121019,0.9059000402977425,0.932384143874035,1.0
EO,0.6299005453962143,0.6440166827077318,0.5219762592236125,1.0
