,cell,fc,svd,PolBlogs
d_max,263.2,258.8,249.6,351.0
d_min,1.0,1.0,1.0,1.0
d,23.25040916530278,23.25040916530278,23.25040916530278,27.355155482815057
LCC,1220.8,1222.0,1222.0,1222.0
wedge_count,890915.2,919626.4,867019.6,1341525.0
claw_count,31489187.2,34261708.6,29713429.0,62800777.0
triangle_count,44628.4,45921.6,42539.0,101043.0
square_count,1787651.4,1907242.4,1653166.0,5171257.0
power_law_exp,1.422964962156445,1.4247081005781266,1.4121033759546475,1.4142735792265944
gini,0.5985938377389697,0.6033676787176208,0.5861159953390984,0.6220195365293499
rel_edge_distr_entropy,0.9112267965563688,0.9091583065277794,0.915224890401583,0.9026542600062603
assortativity,-0.24410281463351163,-0.23923858891443334,-0.23639329296177017,-0.18368820255416848
clustering_coefficient,0.15028259126269364,0.1498072616270909,0.14716549649446803,0.2259585173589758
cpl,2.7606640680844383,2.7394588160545603,2.7406700257764087,2.7375296736998864
ROC-AUC,0.9555090536415893,0.9571854091332792,0.9603494765319164,1.0
AVG-PREC,0.9556563468748769,0.9571065976596504,0.959127578854463,1.0
EO,0.4385893284527665,0.41927354638884984,0.38725890468815993,1.0
