,cell,fc,svd,RT-GOP
d_max,258.8,243.4,260.6,308.0
d_min,1.0,1.0,1.0,1.0
d,2.005120546191594,2.005120546191594,2.005120546191594,2.3592916577768297
LCC,4208.2,4077.2,4068.6,4687.0
wedge_count,83053.2,79459.2,77102.2,122755.0
claw_count,3967111.6,3357130.0,3813922.2,6526042.0
triangle_count,0.4,0.4,0.2,33.0
square_count,11.8,8.0,8.0,369.0
power_law_exp,3.9570792134333828,4.3548071936530235,4.002147685453465,3.4927546835106593
gini,0.43390711849726477,0.453315930062972,0.43869322368068264,0.502017583027027
rel_edge_distr_entropy,0.9197675897494172,0.9141133423113572,0.9223649762472874,0.9054354505480443
assortativity,-0.1357851836279922,-0.14947680575135483,-0.1209791868100742,-0.08981692661865942
clustering_coefficient,1.4436834846352732e-05,1.4981947175915489e-05,7.97829902664752e-06,0.0008064844609180889
cpl,16.921888781498357,14.39076932238909,16.557192340739128,6.583041368771752
ROC-AUC,0.6824147323697689,0.8109873711373794,0.6408463553545596,1.0
AVG-PREC,0.7022167582897272,0.7836403063565959,0.6925131270722191,1.0
EO,0.5665886358799744,0.5354756331134284,0.5526707810172378,1.0
